cik,ticker,accession,form,filing_date,period_of_report,doc_type,exhibit_label,document,doc_url
0001646972,ACI,0001646972-26-000015,8-K,2026-01-22,2026-01-22,exhibit,EX-99.1,january2026bondlaunch.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000015/january2026bondlaunch.htm
0001646972,ACI,0001646972-26-000015,8-K,2026-01-22,2026-01-22,exhibit,EX-99.2,january2026bondprice.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000015/january2026bondprice.htm
0001646972,ACI,0001646972-26-000007,8-K,2026-01-07,2026-01-07,primary,,aci-20260107.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000007/aci-20260107.htm
0001646972,ACI,0001646972-26-000007,8-K,2026-01-07,2026-01-07,exhibit,EX-99.1,aciq325earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000007/aciq325earningsrelease.htm
0001646972,ACI,0001646972-26-000010,10-Q,2026-01-07,2025-11-29,primary,,aci-20251129.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000010/aci-20251129.htm
0001646972,ACI,0001646972-25-000108,8-K,2025-11-14,2025-11-12,primary,,aci-20251112.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000108/aci-20251112.htm
0001646972,ACI,0001646972-25-000098,8-K,2025-11-10,2025-11-10,primary,,aci-20251110.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000098/aci-20251110.htm
0001646972,ACI,0001646972-25-000095,8-K,2025-10-21,2025-10-21,primary,,aci-20251021.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000095/aci-20251021.htm
0001646972,ACI,0001646972-25-000095,8-K,2025-10-21,2025-10-21,exhibit,EX-99.1,october2025bondlaunch.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000095/october2025bondlaunch.htm
0001646972,ACI,0001646972-25-000095,8-K,2025-10-21,2025-10-21,exhibit,EX-99.2,october2025bondprice.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000095/october2025bondprice.htm
